creature_id,environment
269,desert
270,underdark
270,grassland
270,forest
270,swamp
270,hill
270,urban
270,desert
271,forest
271,swamp
272,underwater
273,swamp
273,urban
274,forest
274,swamp
274,hill
274,urban
275,underdark
275,grassland
275,forest
275,swamp
275,hill
275,urban
275,desert
276,underdark
276,grassland
276,forest
276,swamp
276,hill
276,urban
276,desert
277,urban
278,urban
279,grassland
279,forest
280,forest
281,coastal
281,mountain
281,grassland
281,hill
281,arctic
281,forest
281,swamp
281,underdark
281,desert
282,grassland
283,underdark
283,mountain
283,forest
283,swamp
283,hill
283,arctic
284,grassland
285,forest
286,underdark
286,urban
287,coastal
287,mountain
287,grassland
287,hill
287,arctic
287,urban
287,forest
287,underdark
288,underdark
290,grassland
290,hill
290,desert
291,urban
293,underwater
293,swamp
293,coastal
296,underdark
296,swamp
296,urban
296,desert
297,forest
297,swamp
297,urban
298,arctic
299,grassland
299,forest
299,hill
300,grassland
300,forest
300,hill
301,underdark
302,mountain
302,hill
303,underdark
304,swamp
305,desert
305,coastal
306,desert
307,coastal
308,hill
309,grassland
309,forest
310,forest
311,mountain
311,hill
312,mountain
312,urban
313,arctic
314,urban
